isbn,title,author,publisher,year,stock
957598957-0,Ju-on: White Ghost,Lezley Aymerich,Trantow Group,2010,40
142290274-9,Sister My Sister,Melvyn Karpmann,Morissette-Kub,2003,31
455882810-1,"Duel at Silver Creek, The",Hillel Felgat,"Jakubowski, Kassulke and Goyette",2012,90
864623903-9,Silent Fall,Brody Riccardini,Sipes-Johnston,2002,18
955215813-3,American Mary,Tan Gaitone,Murray-Cruickshank,2005,81
450795793-1,Ninja: Shadow of a Tear,Consolata Cleyburn,Bogan-Durgan,2008,81
078559787-5,Private Property (Nue propriété),Arney Walkey,Breitenberg-Dietrich,2005,93
492019737-3,Fiend Without a Face,Dee dee Kornas,Ratke LLC,1991,74
612460361-6,"Pebble and the Penguin, The",Bronnie Jerdan,Gottlieb-Robel,1988,61
815298644-5,Tyler Perry's For Colored Girls,Hilary Waslin,Gusikowski-Rowe,1997,53
509570920-1,Failure to Launch,Tyler Wolfinger,"Harvey, Stamm and Miller",2008,65
204748776-5,Silmido,Rena Crecy,Marquardt Group,1985,51
656792228-1,Mall Girls (Galerianki),Nessie Raittie,Morissette Group,2009,82
580264648-9,Picture This,Lorine McCosh,Kub-Gulgowski,2009,36
797807698-9,Henry Poole is Here,Donnie Strathern,"Cartwright, Rodriguez and Bayer",1996,11
158757566-3,Evita,Shaughn Crowthe,Jakubowski-Gottlieb,2011,11
339642567-7,Drew: The Man Behind the Poster,Maurita Windebank,"Braun, Ullrich and Bogan",1997,39
427153564-8,Viva Zapata!,Vernen Gentery,Raynor LLC,2003,8
117289945-2,Burton and Taylor,Roslyn Pounds,Schumm Inc,1990,71
480159595-2,"Secret of Santa Vittoria, The",Joline Redd,Grant LLC,1997,69
788885832-5,Livid (Livide),Whitby Strudwick,Wintheiser and Sons,1993,49
333688629-5,Don't Go Breaking My Heart (Daan gyun naam yu),Wilfrid Ashbolt,Romaguera and Sons,1988,77
569525918-5,Universal Soldier: Day of Reckoning,Mitchael Whyman,"Grimes, Hoeger and Zieme",2000,52
096595197-9,Shara (Sharasojyu),Welbie Farnham,Hayes-Hudson,2012,96
929831682-8,Four Christmases,Patrica Pennetti,Hauck-Ankunding,2007,31
470398346-X,"Sweet Hereafter, The",Onofredo Sotham,Will LLC,1984,35
538151716-5,Dangerous Game,Hunter O'Hagirtie,Parisian Group,2012,72
768152825-3,Portraits of Women (Naisenkuvia),Betteanne Haskey,Roberts-Green,2001,92
355110125-6,For the Love of Benji,Waldemar Robet,Schulist-Toy,2009,97
259631537-8,Stagecoach,Stormi Suffe,"Barrows, Metz and Marquardt",2008,44
044319020-8,Unspeakable Acts ,Nicolais Kirkpatrick,Stiedemann-Fadel,2004,25
906160936-4,It Boy (20 ans d'écart),Pavlov Dickerson,Predovic LLC,2013,39
455887964-4,"I Love You, I Love You Not",Arnie Lockart,Oberbrunner and Sons,2012,37
025471648-2,Gappa: The Triphibian Monsters (AKA Monster from a Prehistoric Planet) (Daikyojû Gappa),Hermina Ellissen,Witting-Beatty,1987,7
825017227-2,Strange Invaders,Buckie Purvess,Gleichner Group,1997,37
677853038-3,"Last Drop, The",Urban Menco,"Anderson, Bahringer and Jacobs",2011,42
467400521-3,Broadway Damage,Eydie Blackborne,Rath-Strosin,1997,11
037502050-0,Incident at Loch Ness,Katherine Elvey,Shanahan-Wintheiser,2006,96
613902747-0,Little Darlings,Gale Wagstaff,"Fritsch, Runolfsdottir and Crooks",2000,15
966420094-8,Superhero Movie,Niles Uzzell,"Schmeler, Funk and Okuneva",2009,70
923984033-8,Stalin,Daisey Tytcomb,"Klocko, Koepp and Douglas",2003,38
748093722-9,Help!,Seymour Fernez,Williamson LLC,2008,99
149812591-3,American Pimp,Chickie Comber,"Crist, Kuhn and Cormier",1997,34
665013299-3,Dr. Dolittle 2,Dagny Silbersak,"Feil, Douglas and Stark",1992,50
720437371-5,No One Writes to the Colonel (El coronel no tiene quien le escriba),Kissie Croote,Davis Group,2005,81
985353383-9,ABBA: The Movie,Glennie Larkins,"Hilll, Johnson and Prosacco",2000,50
269262266-9,Smiley Face,Adelle Albury,Lesch Group,2001,87
114201129-1,Marilyn in Manhattan,Roobbie Lillicrop,Johnston-Schaden,1999,92
777962341-6,Joe + Belle,Carlyn Bruckner,Nikolaus-Welch,2007,94
122705585-4,Condo Painting,Linc Stanyland,"Turner, Fisher and Hane",2010,19
551907783-5,In Our Garden,Garret Beart,Osinski-Conroy,2000,73
209495758-6,Paranoia Agent,Marian Iacomettii,Graham-Wilkinson,2007,1
620766973-8,Love Finds Andy Hardy,Roman Wybrew,Johns-Hoeger,2001,46
871920429-9,Adventures of Captain Marvel,Dottie Ughi,Weissnat-DuBuque,2001,74
547905981-5,Gun Woman,Joey McFetridge,Senger Group,1987,79
271132588-1,Road to Singapore,Ellissa Medlicott,Huel-Veum,1999,28
106200430-2,"Love, etc.",Anestassia McTrusty,Murphy Inc,1996,14
692765547-6,Amityville: A New Generation,Gaspard Bemwell,Raynor-Hudson,2006,22
222461883-2,Spend It All,Ulric Freire,Schamberger Inc,2000,31
658546221-1,Easy Virtue,Tedd Henric,Kris-Pacocha,1999,2
641186966-9,Resident Evil: Apocalypse,Ximenez Tofpik,Mueller LLC,2002,3
290560780-7,"Blood of Heroes, The (Salute of the Jugger, The)",Pacorro Hazeldine,Hagenes-Kessler,2010,82
983065289-0,Ski Patrol,Bret Birtwhistle,"Bartell, McKenzie and Bayer",1993,50
378697032-7,"Police, Adjective (Politist, adj.)",Jacquenette Sussems,Schulist-Purdy,1999,86
717845752-X,Drumline,Danella Mate,Abernathy Inc,1996,54
585000796-2,Dakota Skye,Dell Fairhurst,"Grady, Hermann and Swift",2010,86
485955939-8,Evocateur: The Morton Downey Jr. Movie,Melvin Crecy,O'Kon-Balistreri,2007,42
056689396-7,Murder!,Helaina Maffezzoli,Moen Group,2007,80
101965125-3,Geek Charming,Alvan Slatten,Howell-Schiller,2009,15
212025156-8,Horns,Farra Piletic,Stehr-Sipes,2002,90
488827136-4,Christmas in July,Haskel Rome,"Donnelly, Murray and Abshire",2006,85
697857372-8,Black Moon Rising,Raynor Grew,"Rosenbaum, Marks and Turner",1997,24
821510029-5,The Hearse,Wilow Perillio,"Reinger, Metz and Becker",1993,83
853280806-9,Just Like Heaven,Tracy Pentland,"Homenick, Schimmel and Wisozk",2012,41
818027775-5,Ghost in the Shell Arise - Border 1: Ghost Pain,Ramsey Welchman,Boyer-Kohler,1988,43
199296701-6,The Identical,Kikelia Duferie,Murray Group,1997,53
906243307-3,Good Time Max,Wylma Dearnly,Mante-Volkman,1992,47
415111881-0,Old Boy,Bail Battany,Halvorson-Deckow,1996,35
030772162-0,Law Abiding Citizen,Brenda Bennoe,Veum Inc,2011,82
860176548-3,Downstairs,Temp Flasby,Morissette and Sons,2004,67
689180038-2,Madagascar,Rowe Featherstonhaugh,Dibbert and Sons,2008,7
470962309-0,"Driver, The",Deva Mcimmie,"Marquardt, Becker and Gusikowski",2000,56
753427949-6,Love Is the Devil,Guenevere Synnott,Bins-Lemke,1995,20
050489433-1,Summer Days With Coo,Annice Need,"McLaughlin, Keeling and DuBuque",1993,11
152341533-9,Destiny (a.k.a. Between Two Worlds) (Der müde Tod),Florenza Camps,"Douglas, Swaniawski and Will",2012,27
803983164-4,Pete Seeger: The Power of Song,Alberik Stansall,Volkman LLC,1998,94
203604370-4,If Winter Comes,Welbie Mulqueen,Green-Trantow,2006,4
484570660-1,"Kremlin Letter, The",Hermia Topp,Reilly-Stehr,2012,86
738073627-2,"Curious Case of Benjamin Button, The",Brittney Westell,"Collins, Hilpert and Upton",1994,66
493131992-0,"Blackout, The",Stormi Pring,"Kemmer, Zulauf and Keeling",2009,55
651217957-9,Masquerade,Fancie Okey,"Batz, McKenzie and Skiles",2006,88
246295106-7,Uninvited Guest,Lynnett Hamer,"Altenwerth, Little and Swift",2003,66
514295979-5,Mission to Moscow,Karalynn Ozelton,Braun-Schulist,2005,21
972513222-X,"All Blossoms Again: Pedro Costa, Director (Tout refleurit: Pedro Costa, cinéaste)",Tanya Drescher,Halvorson-Lehner,2000,90
315373736-3,Machine Gun Kelly,Aldon Sybry,"Roob, Kohler and Steuber",2008,57
402525063-2,Saving God,Fayth Buttriss,Klocko-O'Hara,1993,94
337923196-7,Cannery Row,Vinni Croci,Emard LLC,2005,69
410783410-7,"Interpreter, The",Noel Tarn,Hermann LLC,1996,46
521276107-7,Near Dark,Rafaello Skeel,"McCullough, Boehm and Bode",1999,3
656124778-7,Land of the Blind,Kania Gehrels,"McGlynn, Stoltenberg and Schowalter",2009,90
633947323-7,Ecstasy (Éxtasis),Micky Brognot,"Langworth, Breitenberg and Cummerata",1990,11
123310696-1,Princess (Prinsessa),Baron Clopton,"Jacobi, Schowalter and Parker",1996,16
431311215-4,Of Unknown Origin,Denni Corzor,"Feeney, Denesik and Flatley",1998,76
549998687-8,Dust Devil,Westbrooke Khoter,Ledner Inc,2012,28
588036603-0,American Pie Presents Beta House (American Pie 6: Beta House),Layney Rouge,Hickle-Wilderman,1986,94
814890195-3,"American Friend, The (Amerikanische Freund, Der)",Bondie Shalloo,"O'Hara, Stroman and Nienow",2004,63
885376059-1,"Groundstar Conspiracy, The",Libbey Stoakley,"Mante, Hudson and Aufderhar",2013,18
377549479-0,"Young Törless, The (Junge Törless, Der)",Kennith Phillcock,"Davis, Walter and Romaguera",2007,50
439772489-X,Kabluey,Katusha Cressingham,Kub and Sons,1999,57
919430514-5,Bitter Creek,Adrienne Goulborn,"Lowe, Stamm and Fay",1998,10
209664665-0,Winds of the Wasteland,Brodie Donativo,"Kassulke, Greenfelder and Heathcote",2011,75
854593820-9,Hot Lead and Cold Feet,Gabriell Coupland,Schiller LLC,1999,62
307949203-X,Return to Peyton Place,Beauregard Ganderton,Effertz Group,1997,49
203123570-2,"Emperor's Naked Army Marches On, The (Yuki Yukite shingun)",Roselle Morhall,Schulist-Greenfelder,1978,36
036175440-X,Motivational Growth,Dayle Eddow,Crist Group,2009,43
067221981-6,High School,Lily Gilphillan,Welch Group,1969,6
115555605-4,Yellow Submarine,Honoria Klosa,"Hamill, Mayert and Larson",1998,45
240047980-1,"French Lieutenant's Woman, The",Winn Ambrus,Schuppe-Steuber,1997,54
841450722-0,Dillinger,Brigit Letten,Monahan Group,2000,92
148674278-5,Special Bulletin,Emmerich Shalders,Mueller-Lynch,2007,12
927149684-1,"Nut Job, The",Lindsey Jeafferson,Gottlieb-Rowe,1998,33
388233320-0,Deewaar,Belita Ybarra,Friesen-Nader,2006,12
273797708-8,"Wooden Bridge, The",Daffi MacGaughy,Pfannerstill Group,1999,72
002075190-7,Picnic at Hanging Rock,Elka Jinkin,Bosco Group,2001,56
630804010-X,Sons of the Desert,Judon Greeveson,Daniel-Becker,2006,32
924790675-X,"Spiral Staircase, The",Leonerd Stallwood,Schmidt-Littel,2007,83
480220742-5,If God Is Willing and da Creek Don't Rise,Fanchette MacKilroe,Conroy and Sons,2005,10
625411554-9,Eastwood on Eastwood,Fletch Hyder,"Hoppe, Jaskolski and Miller",2003,67
564343038-X,Clockstoppers,Allyson Roubay,Conn Inc,1997,98
470138316-3,American Pie Presents: Band Camp (American Pie 4: Band Camp),Ganny Gauge,"Morar, Rowe and O'Kon",2008,90
055960380-0,Scattered Clouds (Midaregumo),Coretta Marques,Kozey and Sons,2000,20
684739876-0,"Glimpse Inside the Mind of Charles Swan III, A",Barnebas Zwicker,Rowe-Hermann,2011,29
813047411-5,"Unreasonable Man, An",Carena Quirk,Turner-Kirlin,1996,69
528591911-8,300 Miles to Heaven (300 Mil do Nieba),Nance Keele,Leffler Inc,2011,45
469145424-1,"Ascent, The (Voskhozhdeniye)",Claretta MacEllen,Klein-Murray,2006,3
628796111-2,"Handful of Dust, A",Amandie Kainz,"Smitham, Upton and Beatty",2009,30
278875307-1,Long Day's Journey Into Night,Eolande Salvatore,Keeling-Schoen,1992,35
993605324-9,Last Holiday,Rudyard Roddick,"Marvin, Dibbert and Abernathy",2008,44
476816996-1,Kansas Raiders,Carney Fick,Kozey-Jones,2006,64
183647408-3,Razortooth,Fernande Winger,Romaguera Group,2004,63
142878866-2,"Beast Must Die, The",Asa Cahill,"Collier, Grady and Nicolas",2012,79
987797199-2,Bakhita,Thomasin Farquarson,Luettgen-Grady,2000,64
328893537-6,Dave Chappelle: For What it's Worth,Levon Gontier,Bosco-O'Keefe,2005,54
354369609-2,Galaxy Express 999 (Ginga tetsudô Three-Nine),Adel McAlarney,Rosenbaum-Kuhic,2008,21
654119620-6,Don 2,Hobard Chidlow,"Kassulke, Torp and Bode",2007,30
975055775-1,Payday,Thomas Tugman,Quigley Group,2006,39
014079230-9,Ruthless People,Simone Dalbey,"Boehm, Lehner and Lakin",2012,48
772557669-X,Roger & Me,Ruby Reeken,"Volkman, Barton and Abernathy",1973,40
169821061-2,"Flame and the Arrow, The",Wyatt Coye,"Ruecker, Moore and Hackett",2001,62
445519289-1,The Trip to Bountiful,Pacorro Edgerly,Lang LLC,2000,92
471643269-6,"Devil and Daniel Webster, The (All That Money Can Buy)",Sybil Waterman,"Schmidt, Robel and Walker",2001,86
227885618-9,Wheels on Meals (Kuai can che),Micky Burnhard,Funk-Farrell,2003,30
997141370-1,"Filth and the Fury, The",Marci Brotherhood,Ledner and Sons,2013,98
332942189-4,Hot Tub Time Machine,Manda Gonet,"Brakus, Champlin and Green",2012,88
939014475-2,"Saban, Son of Saban",Marley D'Alessio,"Rogahn, Bogan and Bashirian",2008,30
736657584-4,Rough Magic,Arlyn Noore,"Rosenbaum, Lynch and Stanton",2008,9
348697910-8,Who Am I (Kein System Ist Sicher),Helen-elizabeth Tebbe,Kshlerin-Hahn,1993,77
023115037-7,It's in the Water,Arvy Ladds,Lakin-Hoeger,1998,37
079169130-6,Stories We Tell,Fayette Kerwood,"Smith, Kohler and Nikolaus",2012,54
128072362-9,Cohen and Tate,Nickey Dench,"Yost, Quitzon and Hessel",1997,74
373228352-6,Memoirs of a Geisha,Cesar Bartleman,Denesik and Sons,2001,75
020218823-X,Ecstasy (Éxtasis),Serene Lyngsted,Klocko-Boehm,2002,97
873705433-3,Free Willy 3: The Rescue,Romona Duley,Wiza-McCullough,2009,5
235490984-5,"Way of the Gun, The",Kevan Rudolf,Donnelly-Reichel,2009,19
009621589-5,Above Suspicion,Chic Chevis,"Lesch, Labadie and Wiegand",1993,80
250545351-9,Bill Bailey: Tinselworm,Germaine Tellwright,Mraz Inc,1991,96
060804963-8,Raining Stones,Mia Geane,"Macejkovic, Hyatt and Brakus",2008,80
264175299-9,Shrek,Oralie Boulton,Wiegand-Gutkowski,2001,23
223159109-X,Shoeshine (Sciuscià),Jorie Luggar,Powlowski LLC,1984,97
506818045-9,Stars and Bars,Gil Eastlake,"Gorczany, Nitzsche and Casper",2001,67
026265150-5,Alien Escape,Tatum Mant,"Skiles, Powlowski and Ernser",1997,39
228419199-1,44500 Max,Vasily Jaskowicz,Simonis Inc,2005,15
949041521-9,Where the Money Is,Ruperto Ledwich,Marvin Inc,1985,69
758045217-0,Hum Tum,Trixie Saller,Crist-Mertz,1993,15
433303251-2,Bambi Meets Godzilla,Heloise Forsdike,Hickle-Jacobs,2007,4
841088394-5,"Angels' Share, The",Ted Braunlein,Turcotte-Cormier,2012,39
880605828-2,"Age of Stupid, The",Tasia Halvorsen,Ullrich and Sons,2005,20
668316444-4,Black Magic (Meeting at Midnight) (Charlie Chan in Meeting at Midnight) (Charlie Chan in Black Magic),Garwin Mallatratt,"Sporer, Spencer and Cronin",2010,7
805530215-4,Someone Like You (Unnaipol Oruvan),Morganica Champerlen,Nitzsche Inc,2011,76
506112295-X,In the Beginning (À l'Origine),Sally Joyes,Bogan-Kshlerin,2008,94
916074014-0,"Little Engine That Could, The",Sheffie Dawid,"Corwin, Yost and Nikolaus",2004,10
390069147-9,"Turin Horse, The (A Torinói ló)",Alfie Nutty,Kuvalis-Kemmer,2007,62
680946811-0,Talk Radio,Emmet Ponceford,"Hessel, Zemlak and Mitchell",2012,22
190868487-9,"Substance of Fire, The",Brocky Carlucci,Kihn and Sons,2001,53
701437941-0,"Bannen Way, The",Killy Challin,Hirthe Inc,1992,26
739632948-5,Brokedown Palace,Elisabet Kershow,"Hane, Howell and Bednar",1999,86
480866146-2,Foul Play,Murdock Pohl,Bogan LLC,2006,75
049253337-7,Siblings,Jefferey Ockwell,Greenholt LLC,2005,82
653705054-5,Sightseers,Shane Camerati,"Mayert, Murray and Ritchie",2008,39
088669724-7,Relative Fear,Scott McElvogue,Medhurst Group,2003,84
207565904-4,Alive,Livvy Merveille,"Marks, Schuppe and Muller",2005,24
457217835-6,Step Up,Atalanta Harbour,Dare-Bogisich,2008,39
366718602-9,Quadrille,Stephenie Showler,"Homenick, Collier and Powlowski",2005,87
465253893-6,Something to Talk About,Noak Gulston,"Schaefer, O'Kon and Dare",1992,100
800984200-1,Eastern Drift (Indigène d'Eurasie),Neddie Milstead,Rutherford LLC,2011,36
021171339-2,Milky Way (Tejút),Marie-jeanne Nisuis,Predovic-Hegmann,1971,77
635744947-4,Caesar (Julius Caesar),Darda Follos,"Senger, Breitenberg and Sporer",2006,37
021300328-7,The Woman on Pier 13,Carmela Allenson,Morar and Sons,2011,42
108464782-6,"Telephone, The",Allin Riccardo,Nader-Beahan,2007,39
589275255-0,"Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die)",Guinna Rooms,Satterfield and Sons,1990,78
408063179-0,Katt Williams: The Pimp Chronicles Pt. 1,Friedrich Estabrook,Heller-Terry,2010,22
733674471-0,Falling Down,Gabriel Corry,"Kub, Schowalter and Hermiston",2004,76
642453950-6,"Clockwork Orange, A",Loutitia Albarez,"Mante, Ritchie and Kovacek",1987,43
188539255-9,"Mask of Dimitrios, The",Billi Mobius,McKenzie-Murray,1994,63
952130584-3,Buck,Dionis Allerton,Effertz and Sons,1993,52
829538244-6,Angel Heart,Gordy Kyte,Kuhlman-Windler,1989,25
082692683-5,For the Bible Tells Me So,Boyd Robichon,"Weissnat, Mante and Fahey",2006,40
424815590-7,"Atlantis, the Lost Continent",Brynna Skae,Jast-Runolfsson,2005,27
582649309-7,Motocrossed,Tiffy Boller,Little-Blick,2001,16
810321684-4,Rosie,Florrie Binyon,Lakin Group,2000,85
464006092-0,"Presence, The",Hope Lanham,Schmeler-Paucek,1996,83
906146859-0,Oklahoma!,Erminie Standall,Dicki-Thompson,1986,60
905256573-2,Sick Girl,Josepha Rude,Rosenbaum LLC,2003,55
660715167-1,Grotesque,Esmeralda Gotmann,Ankunding-Zboncak,1984,40
735151681-2,Morons From Outer Space,Celestia Bocock,Ritchie-Wolff,2008,96
948259942-X,Back to the Future Part III,Madlen Jedrysik,"Stark, Grant and Cummings",1989,84
300462665-9,Last Passenger,Louisa Squibbes,"Thompson, Konopelski and Padberg",2013,73
281381778-3,Go for Zucker! (Alles auf Zucker!),Willamina Overal,Smith and Sons,2005,47
446958218-2,Times and Winds (Bes vakit),Steffie Stranger,Weber-Larkin,2004,13
198397813-2,"Nightmare in Las Cruces, A",Bard Kleehuhler,"Wisozk, Moore and Cruickshank",1997,32
466216326-9,Maria (Mariya),Celina Style,Padberg-Hickle,2009,38
007226312-1,Tommy,Willamina Goodinson,DuBuque and Sons,2006,47
273465106-8,"March of the Penguins (Marche de l'empereur, La)",Morey Chalice,"Schinner, Howe and Turner",1997,62
803956801-3,Gulliver's Travels,Eddy Kleiner,Lesch-Champlin,2006,61
